Municipios > 100000 hab.;Sexo;Grupo de edad;Total
Alicante/Alacant. Elche/Elx;ambos sexos;Total;7
Alicante/Alacant. Elche/Elx;ambos sexos;menos de 24 horas;3
Alicante/Alacant. Elche/Elx;ambos sexos;de 1 a 6 días;3
Alicante/Alacant. Elche/Elx;ambos sexos;de 7 a 27 días;..
Alicante/Alacant. Elche/Elx;ambos sexos;de 28 días a 2 meses;..
Alicante/Alacant. Elche/Elx;ambos sexos;de 3 a 5 meses;1
Alicante/Alacant. Elche/Elx;ambos sexos;de 6 a 8 meses;..
Alicante/Alacant. Elche/Elx;ambos sexos;de 9 a 11 meses;..
Alicante/Alacant. Elche/Elx;hombres;Total;4
Alicante/Alacant. Elche/Elx;hombres;menos de 24 horas;1
Alicante/Alacant. Elche/Elx;hombres;de 1 a 6 días;2
Alicante/Alacant. Elche/Elx;hombres;de 7 a 27 días;..
Alicante/Alacant. Elche/Elx;hombres;de 28 días a 2 meses;..
Alicante/Alacant. Elche/Elx;hombres;de 3 a 5 meses;1
Alicante/Alacant. Elche/Elx;hombres;de 6 a 8 meses;..
Alicante/Alacant. Elche/Elx;hombres;de 9 a 11 meses;..
Alicante/Alacant. Elche/Elx;mujeres;Total;3
Alicante/Alacant. Elche/Elx;mujeres;menos de 24 horas;2
Alicante/Alacant. Elche/Elx;mujeres;de 1 a 6 días;1
Alicante/Alacant. Elche/Elx;mujeres;de 7 a 27 días;..
Alicante/Alacant. Elche/Elx;mujeres;de 28 días a 2 meses;..
Alicante/Alacant. Elche/Elx;mujeres;de 3 a 5 meses;..
Alicante/Alacant. Elche/Elx;mujeres;de 6 a 8 meses;..
Alicante/Alacant. Elche/Elx;mujeres;de 9 a 11 meses;..
Asturias. Gijón;ambos sexos;Total;3
Asturias. Gijón;ambos sexos;menos de 24 horas;1
Asturias. Gijón;ambos sexos;de 1 a 6 días;1
Asturias. Gijón;ambos sexos;de 7 a 27 días;..
Asturias. Gijón;ambos sexos;de 28 días a 2 meses;1
Asturias. Gijón;ambos sexos;de 3 a 5 meses;..
Asturias. Gijón;ambos sexos;de 6 a 8 meses;..
Asturias. Gijón;ambos sexos;de 9 a 11 meses;..
Asturias. Gijón;hombres;Total;1
Asturias. Gijón;hombres;menos de 24 horas;..
Asturias. Gijón;hombres;de 1 a 6 días;1
Asturias. Gijón;hombres;de 7 a 27 días;..
Asturias. Gijón;hombres;de 28 días a 2 meses;..
Asturias. Gijón;hombres;de 3 a 5 meses;..
Asturias. Gijón;hombres;de 6 a 8 meses;..
Asturias. Gijón;hombres;de 9 a 11 meses;..
Asturias. Gijón;mujeres;Total;2
Asturias. Gijón;mujeres;menos de 24 horas;1
Asturias. Gijón;mujeres;de 1 a 6 días;..
Asturias. Gijón;mujeres;de 7 a 27 días;..
Asturias. Gijón;mujeres;de 28 días a 2 meses;1
Asturias. Gijón;mujeres;de 3 a 5 meses;..
Asturias. Gijón;mujeres;de 6 a 8 meses;..
Asturias. Gijón;mujeres;de 9 a 11 meses;..
Barcelona. Badalona;ambos sexos;Total;5
Barcelona. Badalona;ambos sexos;menos de 24 horas;..
Barcelona. Badalona;ambos sexos;de 1 a 6 días;1
Barcelona. Badalona;ambos sexos;de 7 a 27 días;1
Barcelona. Badalona;ambos sexos;de 28 días a 2 meses;1
Barcelona. Badalona;ambos sexos;de 3 a 5 meses;..
Barcelona. Badalona;ambos sexos;de 6 a 8 meses;2
Barcelona. Badalona;ambos sexos;de 9 a 11 meses;..
Barcelona. Badalona;hombres;Total;3
Barcelona. Badalona;hombres;menos de 24 horas;..
Barcelona. Badalona;hombres;de 1 a 6 días;1
Barcelona. Badalona;hombres;de 7 a 27 días;1
Barcelona. Badalona;hombres;de 28 días a 2 meses;1
Barcelona. Badalona;hombres;de 3 a 5 meses;..
Barcelona. Badalona;hombres;de 6 a 8 meses;..
Barcelona. Badalona;hombres;de 9 a 11 meses;..
Barcelona. Badalona;mujeres;Total;2
Barcelona. Badalona;mujeres;menos de 24 horas;..
Barcelona. Badalona;mujeres;de 1 a 6 días;..
Barcelona. Badalona;mujeres;de 7 a 27 días;..
Barcelona. Badalona;mujeres;de 28 días a 2 meses;..
Barcelona. Badalona;mujeres;de 3 a 5 meses;..
Barcelona. Badalona;mujeres;de 6 a 8 meses;2
Barcelona. Badalona;mujeres;de 9 a 11 meses;..
Barcelona. Hospitalet de Llobregat, L';ambos sexos;Total;12
Barcelona. Hospitalet de Llobregat, L';ambos sexos;menos de 24 horas;4
Barcelona. Hospitalet de Llobregat, L';ambos sexos;de 1 a 6 días;1
Barcelona. Hospitalet de Llobregat, L';ambos sexos;de 7 a 27 días;6
Barcelona. Hospitalet de Llobregat, L';ambos sexos;de 28 días a 2 meses;..
Barcelona. Hospitalet de Llobregat, L';ambos sexos;de 3 a 5 meses;..
Barcelona. Hospitalet de Llobregat, L';ambos sexos;de 6 a 8 meses;1
Barcelona. Hospitalet de Llobregat, L';ambos sexos;de 9 a 11 meses;..
Barcelona. Hospitalet de Llobregat, L';hombres;Total;6
Barcelona. Hospitalet de Llobregat, L';hombres;menos de 24 horas;3
Barcelona. Hospitalet de Llobregat, L';hombres;de 1 a 6 días;..
Barcelona. Hospitalet de Llobregat, L';hombres;de 7 a 27 días;3
Barcelona. Hospitalet de Llobregat, L';hombres;de 28 días a 2 meses;..
Barcelona. Hospitalet de Llobregat, L';hombres;de 3 a 5 meses;..
Barcelona. Hospitalet de Llobregat, L';hombres;de 6 a 8 meses;..
Barcelona. Hospitalet de Llobregat, L';hombres;de 9 a 11 meses;..
Barcelona. Hospitalet de Llobregat, L';mujeres;Total;6
Barcelona. Hospitalet de Llobregat, L';mujeres;menos de 24 horas;1
Barcelona. Hospitalet de Llobregat, L';mujeres;de 1 a 6 días;1
Barcelona. Hospitalet de Llobregat, L';mujeres;de 7 a 27 días;3
Barcelona. Hospitalet de Llobregat, L';mujeres;de 28 días a 2 meses;..
Barcelona. Hospitalet de Llobregat, L';mujeres;de 3 a 5 meses;..
Barcelona. Hospitalet de Llobregat, L';mujeres;de 6 a 8 meses;1
Barcelona. Hospitalet de Llobregat, L';mujeres;de 9 a 11 meses;..
Barcelona. Mataró;ambos sexos;Total;4
Barcelona. Mataró;ambos sexos;menos de 24 horas;..
Barcelona. Mataró;ambos sexos;de 1 a 6 días;1
Barcelona. Mataró;ambos sexos;de 7 a 27 días;1
Barcelona. Mataró;ambos sexos;de 28 días a 2 meses;2
Barcelona. Mataró;ambos sexos;de 3 a 5 meses;..
Barcelona. Mataró;ambos sexos;de 6 a 8 meses;..
Barcelona. Mataró;ambos sexos;de 9 a 11 meses;..
Barcelona. Mataró;hombres;Total;3
Barcelona. Mataró;hombres;menos de 24 horas;..
Barcelona. Mataró;hombres;de 1 a 6 días;..
Barcelona. Mataró;hombres;de 7 a 27 días;1
Barcelona. Mataró;hombres;de 28 días a 2 meses;2
Barcelona. Mataró;hombres;de 3 a 5 meses;..
Barcelona. Mataró;hombres;de 6 a 8 meses;..
Barcelona. Mataró;hombres;de 9 a 11 meses;..
Barcelona. Mataró;mujeres;Total;1
Barcelona. Mataró;mujeres;menos de 24 horas;..
Barcelona. Mataró;mujeres;de 1 a 6 días;1
Barcelona. Mataró;mujeres;de 7 a 27 días;..
Barcelona. Mataró;mujeres;de 28 días a 2 meses;..
Barcelona. Mataró;mujeres;de 3 a 5 meses;..
Barcelona. Mataró;mujeres;de 6 a 8 meses;..
Barcelona. Mataró;mujeres;de 9 a 11 meses;..
Barcelona. Sabadell;ambos sexos;Total;4
Barcelona. Sabadell;ambos sexos;menos de 24 horas;3
Barcelona. Sabadell;ambos sexos;de 1 a 6 días;..
Barcelona. Sabadell;ambos sexos;de 7 a 27 días;..
Barcelona. Sabadell;ambos sexos;de 28 días a 2 meses;1
Barcelona. Sabadell;ambos sexos;de 3 a 5 meses;..
Barcelona. Sabadell;ambos sexos;de 6 a 8 meses;..
Barcelona. Sabadell;ambos sexos;de 9 a 11 meses;..
Barcelona. Sabadell;hombres;Total;..
Barcelona. Sabadell;hombres;menos de 24 horas;..
Barcelona. Sabadell;hombres;de 1 a 6 días;..
Barcelona. Sabadell;hombres;de 7 a 27 días;..
Barcelona. Sabadell;hombres;de 28 días a 2 meses;..
Barcelona. Sabadell;hombres;de 3 a 5 meses;..
Barcelona. Sabadell;hombres;de 6 a 8 meses;..
Barcelona. Sabadell;hombres;de 9 a 11 meses;..
Barcelona. Sabadell;mujeres;Total;4
Barcelona. Sabadell;mujeres;menos de 24 horas;3
Barcelona. Sabadell;mujeres;de 1 a 6 días;..
Barcelona. Sabadell;mujeres;de 7 a 27 días;..
Barcelona. Sabadell;mujeres;de 28 días a 2 meses;1
Barcelona. Sabadell;mujeres;de 3 a 5 meses;..
Barcelona. Sabadell;mujeres;de 6 a 8 meses;..
Barcelona. Sabadell;mujeres;de 9 a 11 meses;..
Barcelona. Santa Coloma de Gramenet;ambos sexos;Total;2
Barcelona. Santa Coloma de Gramenet;ambos sexos;menos de 24 horas;..
Barcelona. Santa Coloma de Gramenet;ambos sexos;de 1 a 6 días;1
Barcelona. Santa Coloma de Gramenet;ambos sexos;de 7 a 27 días;..
Barcelona. Santa Coloma de Gramenet;ambos sexos;de 28 días a 2 meses;..
Barcelona. Santa Coloma de Gramenet;ambos sexos;de 3 a 5 meses;..
Barcelona. Santa Coloma de Gramenet;ambos sexos;de 6 a 8 meses;1
Barcelona. Santa Coloma de Gramenet;ambos sexos;de 9 a 11 meses;..
Barcelona. Santa Coloma de Gramenet;hombres;Total;2
Barcelona. Santa Coloma de Gramenet;hombres;menos de 24 horas;..
Barcelona. Santa Coloma de Gramenet;hombres;de 1 a 6 días;1
Barcelona. Santa Coloma de Gramenet;hombres;de 7 a 27 días;..
Barcelona. Santa Coloma de Gramenet;hombres;de 28 días a 2 meses;..
Barcelona. Santa Coloma de Gramenet;hombres;de 3 a 5 meses;..
Barcelona. Santa Coloma de Gramenet;hombres;de 6 a 8 meses;1
Barcelona. Santa Coloma de Gramenet;hombres;de 9 a 11 meses;..
Barcelona. Santa Coloma de Gramenet;mujeres;Total;..
Barcelona. Santa Coloma de Gramenet;mujeres;menos de 24 horas;..
Barcelona. Santa Coloma de Gramenet;mujeres;de 1 a 6 días;..
Barcelona. Santa Coloma de Gramenet;mujeres;de 7 a 27 días;..
Barcelona. Santa Coloma de Gramenet;mujeres;de 28 días a 2 meses;..
Barcelona. Santa Coloma de Gramenet;mujeres;de 3 a 5 meses;..
Barcelona. Santa Coloma de Gramenet;mujeres;de 6 a 8 meses;..
Barcelona. Santa Coloma de Gramenet;mujeres;de 9 a 11 meses;..
Barcelona. Terrassa;ambos sexos;Total;4
Barcelona. Terrassa;ambos sexos;menos de 24 horas;..
Barcelona. Terrassa;ambos sexos;de 1 a 6 días;..
Barcelona. Terrassa;ambos sexos;de 7 a 27 días;3
Barcelona. Terrassa;ambos sexos;de 28 días a 2 meses;1
Barcelona. Terrassa;ambos sexos;de 3 a 5 meses;..
Barcelona. Terrassa;ambos sexos;de 6 a 8 meses;..
Barcelona. Terrassa;ambos sexos;de 9 a 11 meses;..
Barcelona. Terrassa;hombres;Total;3
Barcelona. Terrassa;hombres;menos de 24 horas;..
Barcelona. Terrassa;hombres;de 1 a 6 días;..
Barcelona. Terrassa;hombres;de 7 a 27 días;3
Barcelona. Terrassa;hombres;de 28 días a 2 meses;..
Barcelona. Terrassa;hombres;de 3 a 5 meses;..
Barcelona. Terrassa;hombres;de 6 a 8 meses;..
Barcelona. Terrassa;hombres;de 9 a 11 meses;..
Barcelona. Terrassa;mujeres;Total;1
Barcelona. Terrassa;mujeres;menos de 24 horas;..
Barcelona. Terrassa;mujeres;de 1 a 6 días;..
Barcelona. Terrassa;mujeres;de 7 a 27 días;..
Barcelona. Terrassa;mujeres;de 28 días a 2 meses;1
Barcelona. Terrassa;mujeres;de 3 a 5 meses;..
Barcelona. Terrassa;mujeres;de 6 a 8 meses;..
Barcelona. Terrassa;mujeres;de 9 a 11 meses;..
Bizkaia. Barakaldo;ambos sexos;Total;4
Bizkaia. Barakaldo;ambos sexos;menos de 24 horas;2
Bizkaia. Barakaldo;ambos sexos;de 1 a 6 días;..
Bizkaia. Barakaldo;ambos sexos;de 7 a 27 días;1
Bizkaia. Barakaldo;ambos sexos;de 28 días a 2 meses;1
Bizkaia. Barakaldo;ambos sexos;de 3 a 5 meses;..
Bizkaia. Barakaldo;ambos sexos;de 6 a 8 meses;..
Bizkaia. Barakaldo;ambos sexos;de 9 a 11 meses;..
Bizkaia. Barakaldo;hombres;Total;1
Bizkaia. Barakaldo;hombres;menos de 24 horas;..
Bizkaia. Barakaldo;hombres;de 1 a 6 días;..
Bizkaia. Barakaldo;hombres;de 7 a 27 días;1
Bizkaia. Barakaldo;hombres;de 28 días a 2 meses;..
Bizkaia. Barakaldo;hombres;de 3 a 5 meses;..
Bizkaia. Barakaldo;hombres;de 6 a 8 meses;..
Bizkaia. Barakaldo;hombres;de 9 a 11 meses;..
Bizkaia. Barakaldo;mujeres;Total;3
Bizkaia. Barakaldo;mujeres;menos de 24 horas;2
Bizkaia. Barakaldo;mujeres;de 1 a 6 días;..
Bizkaia. Barakaldo;mujeres;de 7 a 27 días;..
Bizkaia. Barakaldo;mujeres;de 28 días a 2 meses;1
Bizkaia. Barakaldo;mujeres;de 3 a 5 meses;..
Bizkaia. Barakaldo;mujeres;de 6 a 8 meses;..
Bizkaia. Barakaldo;mujeres;de 9 a 11 meses;..
Cádiz. Algeciras;ambos sexos;Total;1
Cádiz. Algeciras;ambos sexos;menos de 24 horas;..
Cádiz. Algeciras;ambos sexos;de 1 a 6 días;1
Cádiz. Algeciras;ambos sexos;de 7 a 27 días;..
Cádiz. Algeciras;ambos sexos;de 28 días a 2 meses;..
Cádiz. Algeciras;ambos sexos;de 3 a 5 meses;..
Cádiz. Algeciras;ambos sexos;de 6 a 8 meses;..
Cádiz. Algeciras;ambos sexos;de 9 a 11 meses;..
Cádiz. Algeciras;hombres;Total;1
Cádiz. Algeciras;hombres;menos de 24 horas;..
Cádiz. Algeciras;hombres;de 1 a 6 días;1
Cádiz. Algeciras;hombres;de 7 a 27 días;..
Cádiz. Algeciras;hombres;de 28 días a 2 meses;..
Cádiz. Algeciras;hombres;de 3 a 5 meses;..
Cádiz. Algeciras;hombres;de 6 a 8 meses;..
Cádiz. Algeciras;hombres;de 9 a 11 meses;..
Cádiz. Algeciras;mujeres;Total;..
Cádiz. Algeciras;mujeres;menos de 24 horas;..
Cádiz. Algeciras;mujeres;de 1 a 6 días;..
Cádiz. Algeciras;mujeres;de 7 a 27 días;..
Cádiz. Algeciras;mujeres;de 28 días a 2 meses;..
Cádiz. Algeciras;mujeres;de 3 a 5 meses;..
Cádiz. Algeciras;mujeres;de 6 a 8 meses;..
Cádiz. Algeciras;mujeres;de 9 a 11 meses;..
Cádiz. Jerez de la Frontera;ambos sexos;Total;4
Cádiz. Jerez de la Frontera;ambos sexos;menos de 24 horas;1
Cádiz. Jerez de la Frontera;ambos sexos;de 1 a 6 días;..
Cádiz. Jerez de la Frontera;ambos sexos;de 7 a 27 días;..
Cádiz. Jerez de la Frontera;ambos sexos;de 28 días a 2 meses;1
Cádiz. Jerez de la Frontera;ambos sexos;de 3 a 5 meses;1
Cádiz. Jerez de la Frontera;ambos sexos;de 6 a 8 meses;1
Cádiz. Jerez de la Frontera;ambos sexos;de 9 a 11 meses;..
Cádiz. Jerez de la Frontera;hombres;Total;2
Cádiz. Jerez de la Frontera;hombres;menos de 24 horas;1
Cádiz. Jerez de la Frontera;hombres;de 1 a 6 días;..
Cádiz. Jerez de la Frontera;hombres;de 7 a 27 días;..
Cádiz. Jerez de la Frontera;hombres;de 28 días a 2 meses;..
Cádiz. Jerez de la Frontera;hombres;de 3 a 5 meses;..
Cádiz. Jerez de la Frontera;hombres;de 6 a 8 meses;1
Cádiz. Jerez de la Frontera;hombres;de 9 a 11 meses;..
Cádiz. Jerez de la Frontera;mujeres;Total;2
Cádiz. Jerez de la Frontera;mujeres;menos de 24 horas;..
Cádiz. Jerez de la Frontera;mujeres;de 1 a 6 días;..
Cádiz. Jerez de la Frontera;mujeres;de 7 a 27 días;..
Cádiz. Jerez de la Frontera;mujeres;de 28 días a 2 meses;1
Cádiz. Jerez de la Frontera;mujeres;de 3 a 5 meses;1
Cádiz. Jerez de la Frontera;mujeres;de 6 a 8 meses;..
Cádiz. Jerez de la Frontera;mujeres;de 9 a 11 meses;..
Madrid. Alcalá de Henares;ambos sexos;Total;2
Madrid. Alcalá de Henares;ambos sexos;menos de 24 horas;1
Madrid. Alcalá de Henares;ambos sexos;de 1 a 6 días;1
Madrid. Alcalá de Henares;ambos sexos;de 7 a 27 días;..
Madrid. Alcalá de Henares;ambos sexos;de 28 días a 2 meses;..
Madrid. Alcalá de Henares;ambos sexos;de 3 a 5 meses;..
Madrid. Alcalá de Henares;ambos sexos;de 6 a 8 meses;..
Madrid. Alcalá de Henares;ambos sexos;de 9 a 11 meses;..
Madrid. Alcalá de Henares;hombres;Total;2
Madrid. Alcalá de Henares;hombres;menos de 24 horas;1
Madrid. Alcalá de Henares;hombres;de 1 a 6 días;1
Madrid. Alcalá de Henares;hombres;de 7 a 27 días;..
Madrid. Alcalá de Henares;hombres;de 28 días a 2 meses;..
Madrid. Alcalá de Henares;hombres;de 3 a 5 meses;..
Madrid. Alcalá de Henares;hombres;de 6 a 8 meses;..
Madrid. Alcalá de Henares;hombres;de 9 a 11 meses;..
Madrid. Alcalá de Henares;mujeres;Total;..
Madrid. Alcalá de Henares;mujeres;menos de 24 horas;..
Madrid. Alcalá de Henares;mujeres;de 1 a 6 días;..
Madrid. Alcalá de Henares;mujeres;de 7 a 27 días;..
Madrid. Alcalá de Henares;mujeres;de 28 días a 2 meses;..
Madrid. Alcalá de Henares;mujeres;de 3 a 5 meses;..
Madrid. Alcalá de Henares;mujeres;de 6 a 8 meses;..
Madrid. Alcalá de Henares;mujeres;de 9 a 11 meses;..
Madrid. Alcobendas;ambos sexos;Total;3
Madrid. Alcobendas;ambos sexos;menos de 24 horas;..
Madrid. Alcobendas;ambos sexos;de 1 a 6 días;..
Madrid. Alcobendas;ambos sexos;de 7 a 27 días;1
Madrid. Alcobendas;ambos sexos;de 28 días a 2 meses;2
Madrid. Alcobendas;ambos sexos;de 3 a 5 meses;..
Madrid. Alcobendas;ambos sexos;de 6 a 8 meses;..
Madrid. Alcobendas;ambos sexos;de 9 a 11 meses;..
Madrid. Alcobendas;hombres;Total;2
Madrid. Alcobendas;hombres;menos de 24 horas;..
Madrid. Alcobendas;hombres;de 1 a 6 días;..
Madrid. Alcobendas;hombres;de 7 a 27 días;1
Madrid. Alcobendas;hombres;de 28 días a 2 meses;1
Madrid. Alcobendas;hombres;de 3 a 5 meses;..
Madrid. Alcobendas;hombres;de 6 a 8 meses;..
Madrid. Alcobendas;hombres;de 9 a 11 meses;..
Madrid. Alcobendas;mujeres;Total;1
Madrid. Alcobendas;mujeres;menos de 24 horas;..
Madrid. Alcobendas;mujeres;de 1 a 6 días;..
Madrid. Alcobendas;mujeres;de 7 a 27 días;..
Madrid. Alcobendas;mujeres;de 28 días a 2 meses;1
Madrid. Alcobendas;mujeres;de 3 a 5 meses;..
Madrid. Alcobendas;mujeres;de 6 a 8 meses;..
Madrid. Alcobendas;mujeres;de 9 a 11 meses;..
Madrid. Alcorcón;ambos sexos;Total;4
